source_id,ocel timestamp,ocel activity,weight_y,price_y,numbers,orders,customers,number
1.0,2019-05-20 09:07:47,place order,3.52,524.96,,['990001'],,['Marco Pegoraro']
2.0,2019-05-20 10:35:21,place order,2.656,3255.99,,['990002'],,['Gyunam Park']
3.0,2019-05-20 10:38:17,pick item,0.483,79.99,,['990002'],,['Gyunam Park']
4.0,2019-05-20 11:13:54,confirm order,3.52,524.96,,['990001'],,['Marco Pegoraro']
5.0,2019-05-20 11:20:13,pick item,0.28,89.99,,['990001'],,['Marco Pegoraro']
6.0,2019-05-20 12:30:30,place order,0.994,2468.99,,['990003'],,['Majid Rafiei']
7.0,2019-05-20 12:34:16,confirm order,0.994,2468.99,,['990003'],,['Majid Rafiei']
8.0,2019-05-20 13:54:37,item out of stock,1.48,199.99,,['990001'],,['Marco Pegoraro']
9.0,2019-05-20 14:20:47,place order,2.46,334.98,,['990004'],,['Junxiong Gao']
10.0,2019-05-20 15:19:49,item out of stock,0.44,476.0,,['990003'],,['Majid Rafiei']
11.0,2019-05-20 16:01:22,place order,0.923,1580.0,,['990005'],,['Seran Uysal']
12.0,2019-05-20 16:56:02,pick item,0.98,129.99,,['990004'],,['Junxiong Gao']
13.0,2019-05-20 17:08:25,pick item,1.25,2200.0,,['990002'],,['Gyunam Park']
14.0,2019-05-20 17:22:31,place order,1.432,923.98,,['990006'],,['Christina Rensinghof']
15.0,2019-05-20 17:51:15,pick item,0.2,39.99,,['990003'],,['Majid Rafiei']
16.0,2019-05-20 18:15:00,pick item,0.44,476.0,,['990002'],,['Gyunam Park']
17.0,2019-05-20 18:36:37,confirm order,2.46,334.98,,['990004'],,['Junxiong Gao']
18.0,2019-05-20 19:04:49,place order,1.855,293.98,,['990007'],,['Junxiong Gao']
19.0,2019-05-20 21:49:13,place order,3.755,1428.97,,['990008'],,['Majid Rafiei']
20.0,2019-05-21 07:13:12,place order,3.013,1370.98,,['990009'],,['Gyunam Park']
21.0,2019-05-21 08:23:42,pick item,0.483,79.99,,['990009'],,['Gyunam Park']
22.0,2019-05-21 08:55:41,pick item,0.172,699.0,,['990006'],,['Christina Rensinghof']
23.0,2019-05-21 09:14:32,item out of stock,0.495,129.0,,['990009'],,['Gyunam Park']
24.0,2019-05-21 09:43:01,pick item,0.166,799.0,,['990003'],,['Majid Rafiei']
25.0,2019-05-21 09:58:19,place order,0.978,213.99,,['990010'],,['Wil van der Aalst']
26.0,2019-05-21 10:03:49,reorder item,1.48,199.99,,['990001'],,['Marco Pegoraro']
27.0,2019-05-21 10:34:23,confirm order,0.923,1580.0,,['990005'],,['Seran Uysal']
28.0,2019-05-21 10:41:07,pay order,0.994,2468.99,,['990003'],,['Majid Rafiei']
29.0,2019-05-21 10:49:44,pick item,0.495,129.0,,['990007'],,['Junxiong Gao']
30.0,2019-05-21 12:15:15,pick item,0.98,129.99,,['990006'],,['Christina Rensinghof']
31.0,2019-05-21 12:16:25,place order,1.942,1472.98,,['990011'],,['Gyunam Park']
32.0,2019-05-21 12:19:16,confirm order,2.656,3255.99,,['990002'],,['Gyunam Park']
33.0,2019-05-21 12:35:03,pick item,0.483,495.0,,['990002'],,['Gyunam Park']
34.0,2019-05-21 12:39:01,pick item,1.48,199.99,,['990004'],,['Junxiong Gao']
35.0,2019-05-21 12:47:10,pick item,0.483,79.99,,['990010'],,['Wil van der Aalst']
36.0,2019-05-21 12:55:17,confirm order,1.942,1472.98,,['990011'],,['Gyunam Park']
37.0,2019-05-21 12:57:36,item out of stock,0.495,129.0,,['990010'],,['Wil van der Aalst']
38.0,2019-05-21 13:40:12,confirm order,3.013,1370.98,,['990009'],,['Gyunam Park']
39.0,2019-05-21 13:42:40,pick item,0.495,129.0,,['990008'],,['Majid Rafiei']
40.0,2019-05-21 13:52:38,place order,3.237,2761.99,,['990012'],,['Gyunam Park']
41.0,2019-05-21 14:14:14,pick item,0.28,449.0,,['990009'],,['Gyunam Park']
42.0,2019-05-21 14:33:48,confirm order,1.855,293.98,,['990007'],,['Junxiong Gao']
43.0,2019-05-21 14:55:05,confirm order,1.432,923.98,,['990006'],,['Christina Rensinghof']
44.0,2019-05-21 14:56:24,pick item,1.28,149.99,,['990008'],,['Majid Rafiei']
45.0,2019-05-21 14:58:29,pick item,0.188,1149.0,,['990003'],,['Majid Rafiei']
46.0,2019-05-21 15:02:54,pick item,0.98,129.99,,['990008'],,['Majid Rafiei']
47.0,2019-05-21 15:26:17,pick item,0.28,449.0,,['990008'],,['Majid Rafiei']
48.0,2019-05-21 15:32:29,pick item,0.28,449.0,,['990009'],,['Gyunam Park']
49.0,2019-05-21 15:51:03,item out of stock,0.28,89.99,,['990008'],,['Majid Rafiei']
50.0,2019-05-21 16:05:03,place order,3.194,3127.97,,['990013'],,['Gyunam Park']
51.0,2019-05-21 16:44:36,confirm order,3.237,2761.99,,['990012'],,['Gyunam Park']
52.0,2019-05-21 16:51:49,reorder item,0.28,89.99,,['990008'],,['Majid Rafiei']
53.0,2019-05-21 17:02:33,pick item,0.98,129.99,,['990007'],,['Junxiong Gao']
54.0,2019-05-21 17:15:32,pick item,0.483,1099.0,,['990013'],,['Gyunam Park']
55.0,2019-05-21 17:29:53,place order,3.696,3239.97,,['990014'],,['Christine Dobbert']
56.0,2019-05-21 19:19:13,item out of stock,0.495,129.0,,['990012'],,['Gyunam Park']
57.0,2019-05-21 19:19:34,place order,4.095,5989.98,,['990015'],,['Luis Santos']
58.0,2019-05-21 20:34:29,pick item,0.172,699.0,,['990015'],,['Luis Santos']
59.0,2019-05-21 21:10:10,confirm order,0.978,213.99,,['990010'],,['Wil van der Aalst']
60.0,2019-05-21 21:40:22,confirm order,3.194,3127.97,,['990013'],,['Gyunam Park']
61.0,2019-05-21 22:18:43,place order,1.081,2217.99,,['990016'],,['Christina Rensinghof']
62.0,2019-05-22 08:29:00,place order,1.919,1646.99,,['990017'],,['Junxiong Gao']
63.0,2019-05-22 09:29:44,item out of stock,0.188,1149.0,,['990013'],,['Gyunam Park']
64.0,2019-05-22 09:31:49,item out of stock,1.48,199.99,,['990013'],,['Gyunam Park']
65.0,2019-05-22 09:37:12,pick item,0.28,89.99,,['990013'],,['Gyunam Park']
66.0,2019-05-22 09:49:11,pick item,0.495,129.0,,['990009'],,['Gyunam Park']
